company_name,company_name_normalized,source,url_found,url_normalized,domain_normalized,date_discovered,result_type
А-Керамика (A-Ceramica),a-ceramica керамогранит и плитка оптом,Manual Trade Research | MosBuild Exhibitor List; SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия; SerpApi | керамогранит оптом Москва; SerpApi | плитка импортер Москва; SerpApi | плитка оптовая компания Россия,https://a-ceramica.ru/,https://a-ceramica.ru,a-ceramica.ru,2026-08-16T20:39:45,COMPANY
Керамир (Ceramir),керамир керамическая плитка и керамогранит,Manual Trade Research | Supl.biz Directory; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://ceramir.ru/,https://ceramir.ru,ceramir.ru,2026-08-16T20:39:45,COMPANY
К-Импорт (K-Import),элитная керамическая плитка интернет магазин,Manual Trade Research | Supl.biz Directory; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка импортер Москва,https://www.k-import.ru/,https://k-import.ru,k-import.ru,2026-08-16T20:39:45,COMPANY
Керамогранит.ру (Keramogranit.ru),керамогранит - купить в москве по цене производителя,Manual Trade Research | Supl.biz Directory; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://www.keramogranit.ru/,https://keramogranit.ru,keramogranit.ru,2026-08-16T20:39:45,COMPANY
Cerammax,керамогранит главная,Manual Trade Research | Supl.biz Directory; SerpApi | керамогранит импортер Россия,https://www.cerammax.ru/,https://cerammax.ru,cerammax.ru,2026-08-16T20:39:45,COMPANY
Поставщики плитки в России - Каталог 2026,поставщики плитки в россии - каталог 2026,SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка оптовая компания Россия,https://xn----7sbgyalyhqdlt6e.xn--p1ai/katalog-postavshchikov/120-plitka,https://xn----7sbgyalyhqdlt6e.xn--p1ai/katalog-postavshchikov/120-plitka,xn----7sbgyalyhqdlt6e.xn--p1ai,2026-08-16T20:39:45,DIRECTORY
Импорт керамической плитки и керамогранита из Китая ...,импорт керамической плитки и керамогранита из китая,SerpApi | керамогранит импортер Россия,https://kf.com.ru/ceramics,https://kf.com.ru/ceramics,kf.com.ru,2026-08-16T20:39:45,COMPANY
Российская керамическая плитка,российская керамическая плитка,SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит оптом Москва,https://www.rusplitka.ru/catalog/land/rossiya/,https://rusplitka.ru/catalog/land/rossiya,rusplitka.ru,2026-08-16T20:49:16,PRODUCT_PAGE
Керамическая плитка - «Империя Керамики» салон плитки ...,керамическая плитка - империя керамики салон плитки,SerpApi | керамическая плитка импортер Россия; SerpApi | плитка импортер Москва,https://imperiakeramiki.ru/,https://imperiakeramiki.ru,imperiakeramiki.ru,2026-08-16T20:49:16,COMPANY
«Арт Реал» - интернет-магазин керамической плитки в ...,арт реал - интернет-магазин керамической плитки в,SerpApi | керамическая плитка импортер Россия,https://www.artreal.ru/,https://artreal.ru,artreal.ru,2026-08-16T20:49:16,COMPANY
