company_name,source,url_found,date_discovered,result_type,company_name_normalized,url_normalized,domain_normalized
A-Ceramica: Керамогранит и плитка оптом,SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия; SerpApi | керамогранит оптом Москва; SerpApi | плитка импортер Москва,https://a-ceramica.ru/,2026-08-16T20:39:45,COMPANY,a-ceramica керамогранит и плитка оптом,https://a-ceramica.ru,a-ceramica.ru
Керамир: керамическая плитка и керамогранит,SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://ceramir.ru/,2026-08-16T20:39:45,COMPANY,керамир керамическая плитка и керамогранит,https://ceramir.ru,ceramir.ru
Элитная керамическая плитка. Интернет магазин ...,SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка импортер Москва,https://www.k-import.ru/,2026-08-16T20:39:45,COMPANY,элитная керамическая плитка интернет магазин,https://k-import.ru,k-import.ru
Керамогранит - купить в Москве по цене производителя ...,SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://www.keramogranit.ru/,2026-08-16T20:39:45,COMPANY,керамогранит - купить в москве по цене производителя,https://keramogranit.ru,keramogranit.ru
Импорт керамической плитки и керамогранита растет ...,SerpApi | керамогранит импортер Россия,https://vc.ru/id462272/2246238-import-keramicheskoy-plitki-i-keramogranita,2026-08-16T20:39:45,NEWS_ARTICLE,импорт керамической плитки и керамогранита растет,https://vc.ru/id462272/2246238-import-keramicheskoy-plitki-i-keramogranita,vc.ru
Керамогранит: Главная,SerpApi | керамогранит импортер Россия,https://www.cerammax.ru/,2026-08-16T20:39:45,COMPANY,керамогранит главная,https://cerammax.ru,cerammax.ru
Поставщики плитки в России - Каталог 2026,SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка оптовая компания Россия,https://xn----7sbgyalyhqdlt6e.xn--p1ai/katalog-postavshchikov/120-plitka,2026-08-16T20:39:45,DIRECTORY,поставщики плитки в россии - каталог 2026,https://xn----7sbgyalyhqdlt6e.xn--p1ai/katalog-postavshchikov/120-plitka,xn----7sbgyalyhqdlt6e.xn--p1ai
Керамогранит оптом - Керамическая плитка,SerpApi | керамогранит импортер Россия; SerpApi | керамогранит оптом Москва,https://yandex.ru/maps/org/keramogranit_optom/1279143019/,2026-08-16T20:39:45,MAP,керамогранит оптом - керамическая плитка,https://yandex.ru/maps/org/keramogranit_optom/1279143019,yandex.ru
Импорт керамической плитки и керамогранита из Китая ...,SerpApi | керамогранит импортер Россия,https://kf.com.ru/ceramics,2026-08-16T20:39:45,COMPANY,импорт керамической плитки и керамогранита из китая,https://kf.com.ru/ceramics,kf.com.ru
Российская плитка,SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия,https://www.keramogranit.ru/catalog/keramicheskaya-plitka/keramicheskaja-plitka-rossija/,2026-08-16T20:49:16,PRODUCT_PAGE,российская плитка,https://keramogranit.ru/catalog/keramicheskaya-plitka/keramicheskaja-plitka-rossija,keramogranit.ru
Российская керамическая плитка,SerpApi | керамическая плитка импортер Россия,https://www.rusplitka.ru/catalog/land/rossiya/,2026-08-16T20:49:16,PRODUCT_PAGE,российская керамическая плитка,https://rusplitka.ru/catalog/land/rossiya,rusplitka.ru
Керамическая плитка - «Империя Керамики» салон плитки ...,SerpApi | керамическая плитка импортер Россия; SerpApi | плитка импортер Москва,https://imperiakeramiki.ru/,2026-08-16T20:49:16,COMPANY,керамическая плитка - империя керамики салон плитки,https://imperiakeramiki.ru,imperiakeramiki.ru
«Арт Реал» - интернет-магазин керамической плитки в ...,SerpApi | керамическая плитка импортер Россия,https://www.artreal.ru/,2026-08-16T20:49:16,COMPANY,арт реал - интернет-магазин керамической плитки в,https://artreal.ru,artreal.ru
Керамика Импорт - Керамическая плитка,SerpApi | керамическая плитка импортер Россия,https://yandex.ru/maps/org/keramika_import/1045643965/,2026-08-16T20:49:16,MAP,керамика импорт - керамическая плитка,https://yandex.ru/maps/org/keramika_import/1045643965,yandex.ru
Итальянская керамическая плитка оптом со склада в ...,SerpApi | керамическая плитка импортер Россия; SerpApi | керамическая плитка оптом Санкт-Петербург,https://www.tile-ceramica.ru/plitka_optom/,2026-08-16T20:49:16,COMPANY,итальянская керамическая плитка оптом со склада в,https://tile-ceramica.ru/plitka_optom,tile-ceramica.ru
