company_name,company_name_normalized,source,url_found,url_normalized,domain_normalized,date_discovered,result_type,website_status,page_title,russia_relevant,tile_relevant,company_type,verification_status,verification_source,verification_date,data_confidence,verification_notes,business_email,email_status,email_source_url,business_phone,phone_status,phone_source_url,whatsapp,whatsapp_status,whatsapp_source_url,contact_person,contact_person_status,designation,decision_maker_source_url,linkedin,linkedin_status,vk,vk_status,telegram,telegram_status,social_source_url,contact_quality_score
Керамическая плитка - «Империя Керамики» салон плитки ...,керамическая плитка - империя керамики салон плитки,SerpApi | керамическая плитка импортер Россия; SerpApi | плитка импортер Москва,https://imperiakeramiki.ru/,https://imperiakeramiki.ru,imperiakeramiki.ru,2026-08-16T20:49:16,COMPANY,ACTIVE,106.215.155.184 17.08.2026 19:19:24,YES,YES,SHOWROOM,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,LOW
К-Импорт (K-Import),элитная керамическая плитка интернет магазин,Manual Trade Research | Supl.biz Directory; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка импортер Москва,https://www.k-import.ru/,https://k-import.ru,k-import.ru,2026-08-16T20:39:45,COMPANY,ACTIVE,Элитная керамическая плитка. Интернет магазин керамической плитки в Москве. Керамогранит Италия - k-import.ru,YES,YES,IMPORTER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@k-import.ru,FOUND,https://www.k-import.ru/,+74957661909,FOUND,https://www.k-import.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,,NOT_FOUND,,MEDIUM
Керамотека (Keramoteka),керамотека собрание коллекций керамической плитки,Manual Trade Research | MosBuild Exhibitor List; SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит дистрибьютор Россия,https://www.keramoteka.ru/,https://keramoteka.ru,keramoteka.ru,2026-08-16T20:49:21,COMPANY,ACTIVE,"КЕРАМОТЕКА. Собрание коллекций керамической плитки, керамогранита от лучших европейских производителей. Поставщик Atlas Concorde, Equipe Ceramicas, 41zero42, Wow Design, Adex, Grazia, Arcana, Italgraniti, Porcelanite Dos.",YES,YES,CONSTRUCTION,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,msk@keramoteka.ru,FOUND,https://www.keramoteka.ru/,+74956498420,FOUND,https://www.keramoteka.ru/,+79264718539,FOUND,https://www.keramoteka.ru/contacts/,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,https://t.me/KeramotekaOfficial,FOUND,https://www.keramoteka.ru/,MEDIUM
Cerammax,керамогранит главная,Manual Trade Research | Supl.biz Directory; SerpApi | керамогранит импортер Россия,https://www.cerammax.ru/,https://cerammax.ru,cerammax.ru,2026-08-16T20:39:45,COMPANY,ACTIVE,Главная - Керамогранит,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,nahim@planetaplitki.ru,FOUND,https://www.cerammax.ru/,+74956444233,FOUND,https://www.cerammax.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://oauth.vk.com/authorize,FOUND,,NOT_FOUND,https://www.cerammax.ru/,MEDIUM
Импорт керамической плитки и керамогранита из Китая ...,импорт керамической плитки и керамогранита из китая,SerpApi | керамогранит импортер Россия,https://kf.com.ru/ceramics,https://kf.com.ru/ceramics,kf.com.ru,2026-08-16T20:39:45,COMPANY,ACTIVE,"Импорт керамической плитки и керамогранита из Китая, Индии и других стран | Кристалл Форвардинг",YES,YES,IMPORTER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,sale@kf.com.ru,FOUND,https://kf.com.ru/ceramics,+79000001630,FOUND,https://kf.com.ru/ceramics,+79000001645,FOUND,https://kf.com.ru/rail,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,https://t.me/dmitry_yakunin_crystal,FOUND,https://kf.com.ru/ceramics,MEDIUM
Линкер (Lincer),оптовый поставщик плитки и керамогранита,Manual Trade Research | MosBuild Exhibitor List; SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамическая плитка оптом Санкт-Петербург; SerpApi | керамогранит дистрибьютор Россия; SerpApi | плитка оптовая компания Россия,https://lincer.ru/about/,https://lincer.ru/about,lincer.ru,2026-08-16T20:49:21,COMPANY,ACTIVE,Оптовый поставщик плитки и керамогранита Линкер в СПб — каталог с ценами оптом и в розницу в магазине керамической плитки в СПб,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,plitka@lincer.ru,FOUND,https://lincer.ru/about/,+78124413188,FOUND,https://lincer.ru/about/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,,NOT_FOUND,https://t.me/lincerplitka,FOUND,https://lincer.ru/about/,MEDIUM
Unitile,официальные дистрибьюторы,Manual Trade Research | MosBuild Exhibitor List; SerpApi | ceramic tile wholesaler Russia; SerpApi | porcelain tile wholesaler Moscow; SerpApi | tile distributor Russia; SerpApi | дистрибьютор плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит дистрибьютор Россия,https://unitile.ru/partners/official_distributors/,https://unitile.ru/partners/official_distributors,unitile.ru,2026-08-16T20:49:21,COMPANY,ACTIVE,Официальные дистрибьюторы,YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@unitile.ru,FOUND,https://unitile.ru/partners/official_distributors/,+78636269456,FOUND,https://unitile.ru/partners/official_distributors/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/unitileru,FOUND,https://t.me/unitileru,FOUND,https://unitile.ru/partners/official_distributors/,MEDIUM
«Арт Реал» - интернет-магазин керамической плитки в ...,арт реал - интернет-магазин керамической плитки в,SerpApi | керамическая плитка импортер Россия,https://www.artreal.ru/,https://artreal.ru,artreal.ru,2026-08-16T20:49:16,COMPANY,ACTIVE,«Арт Реал» - интернет-магазин керамической плитки в Москве,YES,YES,SHOWROOM,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@artreal.ru,FOUND,https://www.artreal.ru/,+74951503298,FOUND,https://www.artreal.ru/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/artreal_ru,FOUND,https://t.me/ARTREALbot,FOUND,https://www.artreal.ru/,MEDIUM
Итальянская керамическая плитка оптом со склада в ...,итальянская керамическая плитка оптом со склада в,SerpApi | керамическая плитка импортер Россия; SerpApi | керамическая плитка оптом Санкт-Петербург,https://www.tile-ceramica.ru/plitka_optom/,https://tile-ceramica.ru/plitka_optom,tile-ceramica.ru,2026-08-16T20:49:16,COMPANY,ACTIVE,"Итальянская керамическая плитка оптом — купить плитку от производителя со склада крупного поставщика, цены в Москве и Санкт-Петербурге",YES,YES,DISTRIBUTOR,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,ceramica@ceramica.ru,FOUND,https://www.tile-ceramica.ru/contacts/msk/,+74959560059,FOUND,https://www.tile-ceramica.ru/plitka_optom/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://vk.com/creditceramica,FOUND,,NOT_FOUND,https://www.tile-ceramica.ru/plitka_optom/,MEDIUM
Российская керамическая плитка,российская керамическая плитка,SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит оптом Москва,https://www.rusplitka.ru/catalog/land/rossiya/,https://rusplitka.ru/catalog/land/rossiya,rusplitka.ru,2026-08-16T20:49:16,PRODUCT_PAGE,ACTIVE,Российская керамическая плитка | «РусПлитка»,YES,YES,WHOLESALER,VERIFIED,Web Verification,2026-08-17,HIGH,Verified active site with matching tile and Russian relevance keywords.,info@rusplitka.ru,FOUND,https://www.rusplitka.ru/catalog/land/rossiya/,+74952294420,FOUND,https://www.rusplitka.ru/catalog/land/rossiya/,,NOT_FOUND,,,NOT_FOUND,,,,NOT_FOUND,https://www.vk.com/rusplitka,FOUND,https://t.me/rusplitka_bot,FOUND,https://www.rusplitka.ru/catalog/land/rossiya/,MEDIUM
