company_name_1,url_1,domain_1,company_name_2,url_2,domain_2,similarity_score,status
Керамир (Ceramir),https://ceramir.ru/,ceramir.ru,Керамическая плитка и керамогранит оптом ...,https://opt.mosplitka.ru/,opt.mosplitka.ru,82.9,PENDING
Керамир (Ceramir),https://ceramir.ru/,ceramir.ru,Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,laparet.ru,80.5,PENDING
Керамир (Ceramir),https://ceramir.ru/,ceramir.ru,Керамогранит оптом - Керамическая плитка,https://yandex.ru/maps/org/keramogranit_optom/1279143019/,yandex.ru,80.5,PENDING
Керамогранит.ру (Keramogranit.ru),https://www.keramogranit.ru/,keramogranit.ru,Керамогранит оптом от производителя купить в Санкт ...,https://www.c-s-g.ru/keramogranit/sankt-peterburg,c-s-g.ru,80.4,PENDING
Импорт керамической плитки и керамогранита из Китая ...,https://kf.com.ru/ceramics,kf.com.ru,Italon,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,italonceramica.ru,80.0,PENDING
Импорт керамической плитки и керамогранита из Китая ...,https://kf.com.ru/ceramics,kf.com.ru,Импорт керамической плитки и керамогранита растет ...,https://vc.ru/id462272/2246238-import-keramicheskoy-plitki-i-keramogranita,vc.ru,84.0,PENDING
Global Tile,https://global-tile.ru/,global-tile.ru,Керамическая плитка и керамогранит оптом ...,https://opt.mosplitka.ru/,opt.mosplitka.ru,83.1,PENDING
Global Tile,https://global-tile.ru/,global-tile.ru,Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,laparet.ru,87.2,PENDING
Global Tile,https://global-tile.ru/,global-tile.ru,Керамогранит оптом - Керамическая плитка,https://yandex.ru/maps/org/keramogranit_optom/1279143019/,yandex.ru,80.9,PENDING
Керамическая плитка и керамогранит оптом ...,https://opt.mosplitka.ru/,opt.mosplitka.ru,Керамическая плитка и керамогранит оптом для дилеров,https://artcentre.club/dileram/,artcentre.club,87.0,PENDING
Керамическая плитка и керамогранит оптом ...,https://opt.mosplitka.ru/,opt.mosplitka.ru,Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,spb.tesser.ru,89.9,PENDING
Керамическая плитка и керамогранит оптом ...,https://opt.mosplitka.ru/,opt.mosplitka.ru,Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,laparet.ru,87.1,PENDING
Купить керамогранит в Москве и России. Оптом от ...,https://technotile.ru/,technotile.ru,КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,https://www.ceram-kioto.ru/catalog/keramogranit/,ceram-kioto.ru,87.0,PENDING
Керамическая плитка и керамогранит оптом для дилеров,https://artcentre.club/dileram/,artcentre.club,Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,spb.tesser.ru,83.2,PENDING
Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,spb.tesser.ru,Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,laparet.ru,80.9,PENDING
List of Top Russia Ceramic tiles Importers & Buyers Database,https://www.tradeimex.in/company/customs-data/russia-ceramic-tiles-importer,tradeimex.in,List of Top 374 Glazed Ceramic Tiles Importers in Russia,https://www.exportgenius.in/russia-importers-of-glazed-ceramic-tiles,exportgenius.in,80.7,PENDING
Tile russia Importers in India | Trusted List of Shipment,https://www.seair.co.in/tile-russia-importers,seair.co.in,Ceramic tile russia Importers in India | Trusted List of ...,https://www.seair.co.in/ceramic-tile-russia-importers,seair.co.in,84.4,PENDING
List of Top 374 Glazed Ceramic Tiles Importers in Russia,https://www.exportgenius.in/russia-importers-of-glazed-ceramic-tiles,exportgenius.in,List of Top 323 Tile Ceramic Importers in Russia,https://www.exportgenius.in/russia-importers-of-tile-ceramic,exportgenius.in,88.5,PENDING
Ceramic tile russia Importers in India | Trusted List of ...,https://www.seair.co.in/ceramic-tile-russia-importers,seair.co.in,List of Top 323 Tile Ceramic Importers in Russia,https://www.exportgenius.in/russia-importers-of-tile-ceramic,exportgenius.in,82.4,PENDING
