company_name,source,url_found,date_discovered,result_type
A-Ceramica: Керамогранит и плитка оптом,SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия; SerpApi | керамогранит оптом Москва; SerpApi | плитка импортер Москва,https://a-ceramica.ru/,2026-08-16T20:39:45,COMPANY
Керамир: керамическая плитка и керамогранит,SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://ceramir.ru/,2026-08-16T20:39:45,COMPANY
Элитная керамическая плитка. Интернет магазин ...,SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка импортер Москва,https://www.k-import.ru/,2026-08-16T20:39:45,COMPANY
Керамогранит - купить в Москве по цене производителя ...,SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия,https://www.keramogranit.ru/,2026-08-16T20:39:45,COMPANY
Импорт керамической плитки и керамогранита растет ...,SerpApi | керамогранит импортер Россия,https://vc.ru/id462272/2246238-import-keramicheskoy-plitki-i-keramogranita,2026-08-16T20:39:45,NEWS_ARTICLE
Керамогранит: Главная,SerpApi | керамогранит импортер Россия,https://www.cerammax.ru/,2026-08-16T20:39:45,COMPANY
Поставщики плитки в России - Каталог 2026,SerpApi | дистрибьютор плитки Россия; SerpApi | импортер плитки Россия; SerpApi | керамическая плитка дистрибьютор Россия; SerpApi | керамическая плитка импортер Россия; SerpApi | керамогранит дистрибьютор Россия; SerpApi | керамогранит импортер Россия; SerpApi | плитка оптовая компания Россия,https://xn----7sbgyalyhqdlt6e.xn--p1ai/katalog-postavshchikov/120-plitka,2026-08-16T20:39:45,DIRECTORY
Керамогранит оптом - Керамическая плитка,SerpApi | керамогранит импортер Россия; SerpApi | керамогранит оптом Москва,https://yandex.ru/maps/org/keramogranit_optom/1279143019/,2026-08-16T20:39:45,MAP
Импорт керамической плитки и керамогранита из Китая ...,SerpApi | керамогранит импортер Россия,https://kf.com.ru/ceramics,2026-08-16T20:39:45,COMPANY
Российская плитка,SerpApi | импортер плитки Россия; SerpApi | керамическая плитка импортер Россия,https://www.keramogranit.ru/catalog/keramicheskaya-plitka/keramicheskaja-plitka-rossija/,2026-08-16T20:49:16,PRODUCT_PAGE
Российская керамическая плитка,SerpApi | керамическая плитка импортер Россия,https://www.rusplitka.ru/catalog/land/rossiya/,2026-08-16T20:49:16,PRODUCT_PAGE
Керамическая плитка - «Империя Керамики» салон плитки ...,SerpApi | керамическая плитка импортер Россия; SerpApi | плитка импортер Москва,https://imperiakeramiki.ru/,2026-08-16T20:49:16,COMPANY
«Арт Реал» - интернет-магазин керамической плитки в ...,SerpApi | керамическая плитка импортер Россия,https://www.artreal.ru/,2026-08-16T20:49:16,COMPANY
Керамика Импорт - Керамическая плитка,SerpApi | керамическая плитка импортер Россия,https://yandex.ru/maps/org/keramika_import/1045643965/,2026-08-16T20:49:16,MAP
