company_name,product_category,source,source_url,research_method
Союз Керамика (Soyuz Ceramica),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://soyuzceramica.ru,Manual Public Research
Линкер (Lincer),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://lincer.ru,Manual Public Research
А-Керамика (A-Ceramica),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://a-ceramica.ru,Manual Public Research
Арткерамика (Artkeramika),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://artkeramika-opt.ru,Manual Public Research
ТЕССЕР (Tesser),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://tesser.ru,Manual Public Research
Контакт-М (Contact-M),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://kontact-m.ru,Manual Public Research
Мосплитка (Mosplitka),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://mosplitka.ru,Manual Public Research
Керамотека (Keramoteka),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://keramoteka.ru,Manual Public Research
Estima,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://estima.ru,Manual Public Research
Kerranova (Samarskiy Stroyfarfor),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://kerranova.ru,Manual Public Research
Laperet,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://laperet.ru,Manual Public Research
Italon,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://italonceramica.ru,Manual Public Research
Cersanit Russia,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://cersanit.ru,Manual Public Research
Gracia Ceramica,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://graciaceramica.com,Manual Public Research
Unitile,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://unitile.ru,Manual Public Research
Creto,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://creto.ru,Manual Public Research
Global Tile,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://global-tile.ru,Manual Public Research
Уральский гранит (Ural Granit),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://uralgranit.ru,Manual Public Research
Берёзастройматериалы (Beryoza Ceramica),Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://bereza-ceramica.by,Manual Public Research
Onetouch Ceramica,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://onetouchceramica.ru,Manual Public Research
Nt Ceramic,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://ntceramic.ru,Manual Public Research
Zerde Ceramics,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://zerdeceramics.kz,Manual Public Research
Monalisa Tiles Russia,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://monalisatiles.ru,Manual Public Research
Plitka-Podolsk,Porcelain & Ceramic Tiles,Supl.biz Directory,https://plitka-podolsk.ru,Manual Public Research
К-Импорт (K-Import),Porcelain & Ceramic Tiles,Supl.biz Directory,https://www.k-import.ru,Manual Public Research
Керамир (Ceramir),Porcelain & Ceramic Tiles,Supl.biz Directory,https://ceramir.ru,Manual Public Research
Керамогранит.ру (Keramogranit.ru),Porcelain & Ceramic Tiles,Supl.biz Directory,https://www.keramogranit.ru,Manual Public Research
Cerammax,Porcelain & Ceramic Tiles,Supl.biz Directory,https://www.cerammax.ru,Manual Public Research
Atlas Concorde Russia,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://atlasconcorde.ru,Manual Public Research
Primavera,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://primavera-ceramica.ru,Manual Public Research
Ceramica Classic,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://ceramicaclassic.ru,Manual Public Research
Lira Ceramica,Porcelain & Ceramic Tiles,MosBuild Exhibitor List,https://liraceramica.ru,Manual Public Research
